,Years,Toll,Toll equivalentin 2018[221],Ref.
0,1950–1972,$0.35,$2.10–3.64,[188][222]
1,1972–1975,$0.70,$3.26–4.19,[222][223]
2,1975–1980,$0.75,$2.28–3.49,[223][224]
3,1980–1982,$1.00,$2.60–3.04,[224][225]
4,1982–1984,$1.25,$3.01–3.25,[225][226]
5,1984–1986,$1.50,$3.49–3.43,[226][227]
6,1986–1987,$1.75,$3.86–4.00,[227][228]
7,1987–1989,$2.00,$4.04–4.41,[228][229]
8,1989–1993,$2.50,$4.34–5.05,[229][230]
9,1993–1996,$3.00,$4.79–5.20,[230][231]
10,1996–2003,$3.50,$5.59–5.59,[231][232]
11,2003–2005,$4.00,$5.13–6.39,[232][233]
12,2005–2008,$4.50,$5.24–5.77,[233][234]
13,2008–2010,$5.00,$5.74–5.82,[234][235]
14,2010–2015,$6.50,$6.87–7.47,[235][236]
15,2015–2017,$8.00,$8.18–8.46,[237][238]
16,2017–2019,$8.50,$8.50–8.69,[239][240]
17,April 2019 – present,$9.50,$9.50,[241][217]
