,Years,Toll,Toll equivalentin 2018[117],Ref.
0,1939–1972,$0.25,$1.50–4.50,[61][118]
1,1972–1975,$0.50,$2.33–2.99,[118][119]
2,1975–1980,$0.75,$2.28–3.49,[119][120]
3,1980–1982,$1.00,$2.60–3.04,[120][121]
4,1982–1984,$1.25,$3.01–3.25,[121][122]
5,1984–1986,$1.50,$3.49–3.43,[122][123]
6,1986–1987,$1.75,$3.86–4.00,[123][124]
7,1987–1989,$2.00,$4.04–4.41,[124][125]
8,1989–1993,$2.50,$4.34–5.05,[125][126]
9,1993–1996,$3.00,$4.79–5.20,[126][127]
10,1996–2003,$3.50,$4.77–5.59,[127][128]
11,2003–2005,$4.00,$5.13–5.45,[128][129]
12,2005–2008,$4.50,$5.24–5.77,[129][130]
13,2008–2010,$5.00,$5.74–5.82,[130][131]
14,2010–2015,$6.50,$6.87–7.47,[131][132]
15,2015–2017,$8.00,$8.18–8.46,[133][134]
16,2017–2019,$8.50,$8.50–8.69,[135][136]
17,April 2019 – present,$9.50,$9.50,[111][137]
