,Years,Toll,Toll equivalentin 2018[194],Ref.
0,1940–1972,$0.25,$1.50–4.47,[195][196]
1,1972–1975,$0.50,$2.33–2.99,[196][197]
2,1975–1980,$0.75,$2.28–3.49,[197][198]
3,1980–1982,$1.00,$2.60–3.04,[198][199]
4,1982–1984,$1.25,$3.01–3.25,[199][200]
5,1984–1986,$1.50,$3.49–3.43,[200][201]
6,1986–1987,$1.75,$3.86–4.00,[201][202]
7,1987–1989,$2.00,$4.04–4.41,[202][203]
8,1989–1993,$2.50,$4.34–5.05,[203][204]
9,1993–1996,$3.00,$4.79–5.20,[204][205]
10,1996–2003,$3.50,$5.59–5.59,[205][206]
11,2003–2005,$4.00,$5.13–6.39,[206][207]
12,2005–2008,$4.50,$5.24–5.77,[207][208]
13,2008–2010,$5.00,$5.74–5.82,[208][209]
14,2010–2015,$6.50,$6.87–7.47,[209][210]
15,2015–2017,$8.00,$8.18–8.46,[211][212]
16,2017–2019,$8.50,$8.50–8.69,[213][214]
17,April 2019 – present,$9.50,$9.50,[215][190]
